agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips,addr1,addr2
Mesquite Township Constable,1,Local police department,NV,Clark,Mesquite,89027,32003,500 Hillside Drive, 
Tigerton Police Department,1,Local police department,WI,Shawano,Tigerton,54486,55115,221 Birch Street,P.O. Box 147
Calhoun Police Department,1,Local police department,KY,McLean,Calhoun,42327,21149,200 N. Wall Street, 
Francesville Police,1,Local police department,IN,Pulaski,Francesville,47946,18131,122 E. Montgomery Street, 
Louise Police Department,1,Local police department,MS,Humphreys,Louise,39097,28053,Post Office Box 224, 
Stratton Police Department,1,Local police department,OH,Jefferson,Stratton,43961,39081,136 Third Avenue, 
Berlin Heights Police Department,1,Local police department,OH,Erie,Berlin Heights,44814,39043,8 West Main Street,P.O. Box 298
Worthing Police Department,1,Local police department,SD,Lincoln,Worthing,57077,46083,Po Box 94,212 S. Main Street
Lena Police Department,1,Local police department,WI,Oconto,Lena,54139,55083,P.O. Box 303,122 E. Main St.
Sweetser Police,1,Local police department,IN,Grant,Sweetser,46987,18053,113 North Main Street, 
Tilden Police Dept,1,Local police department,IL,Randolph,Tilden,62292,17157,P.O. Box 83, 
Onarga Police Dept,1,Local police department,IL,Iroquois,Onarga,60955,17075,113 West Seminary Avenue, 
Burr Oak Police Department,1,Local police department,MI,St. Joseph,Burr Oak,49030,26149,228 South Third Street,PO Box 61
Mosby Police Department,1,Local police department,MO,Clay,Mosby,64073,29047,12300  Fourth Street, 
Somerset Township Police Department,1,Local police department,MI,Hillsdale,Somerset Center,49282,26059,Po Box 69,12715 E Chicago Rd
Grafton Police Department,1,Local police department,NH,Grafton,Grafton,3240,33009,638 Cooper Ave, 
Powers Lake Police Department,1,Local police department,ND,Burke,Powers Lake,58773,38013,Po Box 137, 
San Ysidro Marshal's Office,1,Local police department,NM,Sandoval,San Ysidro,87053,35043,P.O. Box 175,P.O.BOX 28
Burke Police Department,1,Local police department,SD,Gregory,Burke,57523,46053,Po Box 185,8th & Main
Valders Police Department,1,Local police department,WI,Manitowoc,Valders,54245,55071,207 South Liberty Street,P.O. Box 459
Overbrook Police Department,1,Local police department,KS,Osage,Overbrook,66524,20139,Po Box 135, 
Tracy Police Department,1,Local police department,MO,Platte,Tracy,64079,29165,336 Morgan St., 
Duryea Police Department,1,Local police department,PA,Luzerne,Duryea,18642,42079,315 Main Street, 
Springdale Police Department,1,Local police department,WA,Stevens,Springdale,99173,53065,2915 Platt Springs Road, 
Lebo Police Department,1,Local police department,KS,Coffey,Lebo,66856,20031,Po Box 453, 
Morrisonville Police Dept,1,Local police department,IL,Christian,Morrisonville,62546,17021,307 Se 6Th St,P.O. Box 18
New Castle Police Department,1,Local police department,KY,Henry,New Castle,40050,21103,Po Box 367,49 Main Street
Wolcott Village Police Department,1,Local police department,NY,Wayne,Wolcott,14590,36117,6015 New Hartford,POB 274
Fletcher Police Department,1,Local police department,OK,Comanche,Fletcher,73541,40031,110 Parrish Municipal Dr., 
Wiconisco Township Police Department,1,Local police department,PA,Dauphin,Wiconisco,17097,42043,Po Box 370,305 Walnut St
New Braintree Police Department,1,Local police department,MA,Worcester,New Braintree,1531,25027,20 Memorial Dr, 
Millersburg Police Department,1,Local police department,KY,Bourbon,Millersburg,40348,21017,6 North Washington Street, 
Ferrelview Police Department,1,Local police department,MO,Platte,Ferrelview,64163,29165,205 Nw Heady Ave, 
Russia Police Department,1,Local police department,OH,Shelby,Russia,45363,39149,P.O. Box 306, 
Albany Police Department,1,Local police department,TX,Shackelford,Albany,76430,48417,204 Water St., 
Burgin Police Department,1,Local police department,KY,Mercer,Burgin,40310,21167,P.O. Box 323, 
Birdseye Police,1,Local police department,IN,Dubois,Birdseye,47513,18037,Post Office Box 93, 
Virginia Police Dept,1,Local police department,IL,Cass,Virginia,62691,17017,143 South Front Street, 
Tampico Police Dept,1,Local police department,IL,Whiteside,Tampico,61283,17195,104 W Market St,P. O. Box 219
Hurstbourne Acres Police Department,1,Local police department,KY,Jefferson,Louisville,40220,21111,1940 1/2 South Hurstbourne Parkway, 
Derma Police Department,1,Local police department,MS,Calhoun,Derma,38839,28013,Post Office Box 98, 
Winstonville Police Department,1,Local police department,MS,Bolivar,Winstonville,38781,28011,Post Office Box 151, 
Castalia Police Department,1,Local police department,OH,Erie,Castalia,44824,39043,126 Main Street,P.O. Box 476
Orangeville Area Police Department,1,Local police department,PA,Columbia,Orangeville,17859,42037,301 Mill Street P.O. Box 192, 
Bethune Police Department,1,Local police department,SC,Kershaw,Bethune,29009,45055,Po Box 486, 
Rib Lake Police Department,1,Local police department,WI,Taylor,Rib Lake,54470,55119,655 Pearl Street,P.O. Box 205
Courtland Police Department,1,Local police department,VA,Southampton,Courtland,23837,51175,P.O. Box 39, 
West Salem Police Dept,1,Local police department,IL,Edwards,West Salem,62476,17047,106 E South Street, 
Beaverton Police Department,1,Local police department,MI,Gladwin,Beaverton,48612,26051,130 Saginaw St, 
Washburn Police Department,1,Local police department,ME,Aroostook,Washburn,4786,23003,1287 Main Street, 
Henderson Police Dept,1,Local police department,NE,York,Henderson,68371,31185,957 Main, 
Vaughn Police Department,1,Local police department,NM,Guadalupe,Vaughn,88353,35019,P.O. Box 278, 
Wynona Police Department,1,Local police department,OK,Osage,Wynona,74084,40113,Post Office Box 580, 
Jennings Police Department,1,Local police department,OK,Pawnee,Jennings,74038,40117,Post Office Box 209, 
Garrison Police Department,1,Local police department,TX,Nacogdoches,Garrison,75946,48347,129 West Greenwood, 
Sweden Township Police Department,1,Local police department,PA,Potter,Coudersport,16915,42105,121 Faith Street, 
Seward Borough Police Department,1,Local police department,PA,Westmoreland,Seward,15954,42129,233 Indiana Street,P.O. Box 456
Belington Police Department,1,Local police department,WV,Barbour,Belington,26250,54001,Po Box 926, 
Benham Police Department,1,Local police department,KY,Harlan,Benham,40807,21095,P.O. Box E, 
Simpson Police Department,1,Local police department,LA,Vernon,Simpson,71474,22115,Po Box 71, 
Coleridge Police Dept,1,Local police department,NE,Cedar,Coleridge,68727,31027,P.O. Box 276, 
Hancock Village Police Department,1,Local police department,NY,Delaware,Hancock,13783,36025,"85 East Front Street, #8", 
Mount Pleasant Township Police Department,1,Local police department,PA,Washington,Hickory,15340,42125,31 Mccarrel Road, 
Quitman Police Department,1,Local police department,LA,Jackson,Quitman,71268,22049,P.O. Box 159, 
Wingo Police Department,1,Local police department,KY,Graves,Wingo,42088,21083,P.O. Box 117, 
New Haven Police Department,1,Local police department,KY,Nelson,New Haven,40051,21179,Post Office Box 217, 
Clearbrook Police Department,1,Local police department,MN,Clearwater,Clearbrook,56634,27029,P.O. Box 52, 
Tremont City Police Department,1,Local police department,OH,Clark,Tremont City,45372,39023,P.O. Box 143,26 East Main Street
Little River-Academy Police Department,1,Local police department,TX,Bell,Little River,76554,48027,P. O. Box 521, 
Bethesda Police Department,1,Local police department,OH,Belmont,Bethesda,43719,39013,112 N. Main Street,P.O. Box 493
Vega Marshal's Office,1,Constable/marshal,TX,Oldham,Vega,79092,48359,P. O. Box 470, 
Bradfordsville Police Department,1,Local police department,KY,Marion,Bradfordsville,40009,21155,P.O. Box 65, 
Oakwood Police Dept,1,Local police department,IL,Vermilion,Oakwood,61858,17183,106 S Scott St,P. O. Box 31
Gamaliel Police Department,1,Local police department,KY,Monroe,Gamaliel,42140,21171,P.O. Box 126, 
Montrose Police Department,1,Local police department,MO,Henry,Montrose,64770,29083,P.O. Box 185, 
Marquand Police Department,1,Local police department,MO,Bollinger,Marquand,63655,29017,City Hall, 
Bates City Police Department,1,Local police department,MO,Lafayette,Bates City,64011,29107,Po Box 194, 
St. Edward Police Dept,1,Local police department,NE,Boone,St. Edward,68660,31011,101 Lovers Lane, 
Republic Police Department,1,Local police department,OH,Seneca,Republic,44867,39147,Po Box 331, 
