agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips,addr1,addr2
Mount Pleasant Police Department,41,Local police department,WI,Racine,Racine,53406,55101,P.O. Box 426, 
Columbus Airport Authority Police,41,Special jurisdiction,OH,Franklin,Columbus,43219,39049,4600 International Gateway, 
Marion Police Department,41,Local police department,IA,Linn,Marion,52302,19113,P.O. Box 158, 
Searcy Police Department,41,Local police department,AR,White,Searcy,72145,5145,P.O. Box 178, 
CUNY Hostos Community College Police,41,Special jurisdiction,NY,New York,Bronx,10451,36061,450 Grand Concourse,Room C-030
Limestone County Sheriff's Office,41,Sheriff's office,AL,Limestone,Athens,35611,1083,1221 E Yeagua St, 
Lake Wales Police Department,41,Local police department,FL,Polk,Lake Wales,33853,12105,133 East Tillman Avenue, 
Wayne Police Department,41,Local police department,MI,Wayne,Wayne,48184,26163,Post Office Box 186, 
Daviess County Sheriff's Office,40,Sheriff's office,KY,Daviess,Owensboro,42303,21059,212 Saint Ann St, 
Lake Oswego Police Department,40,Local police department,OR,Clackamas,Lake Oswego,97034,41005,Po Box 369, 
Wood County Sheriff's Office,40,Sheriff's office,WV,Wood,Parkersburg,26101,54107,328 2Nd St,PO Box 1985
Finney County Sheriff's Office,40,Sheriff's office,KS,Finney,Garden City,67846,20055,304 N 9Th St, 
Middleboro Police Department,40,Local police department,MA,Plymouth,Middleboro,2346,25023,99 North Main Street, 
Libertyville Police Dept,40,Local police department,IL,Lake,Libertyville,60048,17097,200 E Cook Ave, 
Grosse Pointe Woods Department of Public Safety,40,Local police department,MI,Wayne,Grosse Pointe Woods,48236,26163,20025 Mack Plaza, 
University of California - San Francisco Police,40,Special jurisdiction,CA,San Francisco,San Francisco,94143,6075,1855 Folsom Street, 
Wallkill Town Police Department,40,Local police department,NY,Orange,Middletown,10941,36071,99 Tower Drive - Building B, 
Isle of Wight County Sheriff's Office,40,Sheriff's office,VA,Isle of Wight,Isle Of Wight,23397,51093,Po Box 75,"17110 Monument, Ste C"
Pasquotank County Sheriff's Office,40,Sheriff's office,NC,Pasquotank,Elizabeth City,27907,37139,Po Box 587, 
Randolph Township Police,40,Local police department,NJ,Morris,Randolph,7869,34027,502 Millbrook Avenue, 
Reading Police Department,40,Local police department,MA,Middlesex,Reading,1867,25017,15 Union Street, 
Somerset Police Department,40,Local police department,KY,Pulaski,Somerset,42501,21199,110 Spring Street,P.O. Box 158
Miami Township Police Department,40,Local police department,OH,Montgomery,Miamisburg,45342,39113,2660 Lyons Road, 
Kittitas County Sheriff's Office,40,Sheriff's office,WA,Kittitas,Ellensburg,98926,53037,205 W 5Th Ave,Ste 1
Forest Park Police Department,40,Local police department,OH,Hamilton,Forest Park,45240,39061,1203 West Kemper Road, 
Brownsburg Police,40,Local police department,IN,Hendricks,Brownsburg,46112,18063,31 North Green Street, 
Bainbridge Police Department,40,Local police department,GA,Decatur,Bainbridge,31717,13087,P. O. Box 481, 
Rutherford Police,40,Local police department,NJ,Bergen,Rutherford,7070,34003,184 Park Avenue, 
Merrimack Police Department,40,Local police department,NH,Hillsborough,Merrimack,3054,33011,31 Baboosic Lake Road, 
El Paso I.S.D. Police Dept.,40,Special jurisdiction,TX,El Paso,El Paso,79925,48141,6531 Boeing Dr, 
Fitchburg Police Department,40,Local police department,WI,Dane,Fitchburg,53711,55025,5520 East Lacy Road, 
Nevada Department of Wildlife,40,Special jurisdiction,NV,Washoe,Reno,89512,32031,1100 Valley Drive, 
Painesville Police Department,40,Local police department,OH,Lake,Painesville,44077,39085,28 Mentor Avenue, 
McDowell County Sheriff's Office,40,Sheriff's office,NC,McDowell,Marion,28752,37111,90 Wyoming St Ste 117, 
Versailles Police Department,40,Local police department,KY,Woodford,Versailles,40383,21239,6 South Center Street, 
San Juan Police Department,40,Local police department,TX,Hidalgo,San Juan,78589,48215,2301 N. Raul Longoria, 
Smithfield Police Department,40,Local police department,RI,Providence,Smithfield,2917,44007,215 Pleasant View Avenue, 
Mamaroneck Town Police Department,40,Local police department,NY,Westchester,Mamaroneck,10543,36119,740 West Boston Post Road, 
Chisago County Sheriff's Office,40,Sheriff's office,MN,Chisago,Center City,55012,27025,"313 N Main St, Ste 100", 
Brighton Town Police Department,40,Local police department,NY,Monroe,Rochester,14618,36055,2300 Elmwood Avenue, 
Darke County Sheriff's Office,40,Sheriff's office,OH,Darke,Greenville,45331,39037,5185 County Home Rd, 
Ridgewood Police,40,Local police department,NJ,Bergen,Ridgewood,7450,34003,131 N Maple Ave, 
Hancock County Sheriff's Office,40,Sheriff's office,IN,Hancock,Greenfield,46140,18059,200 W Crawford St, 
Columbia County Sheriff's Office,40,Sheriff's office,WI,Columbia,Portage,53901,55021,4917 Us Highway 90, 
Ashtabula County Sheriff's Office,40,Sheriff's office,OH,Ashtabula,Jefferson,44047,39007,25 W Jefferson St, 
Fremont Police Dept,40,Local police department,NE,Dodge,Fremont,68025,31053,725 N. Park St., 
Pittsburg Police Department,40,Local police department,KS,Crawford,Pittsburg,66762,20037,Po Box 611, 
Clark Police,40,Local police department,NJ,Union,Clark,7066,34039,315 Westfield Avenue, 
Fraser Dept of Public Safety,40,Local police department,MI,Macomb,Fraser,48026,26099,33000 Garfield Rd, 
Jackson Township Police Department,40,Local police department,OH,Stark,Massillon,44646,39151,2211 Huntsville Road, 
Alliance Police Department,40,Local police department,OH,Stark,Alliance,44601,39151,470 East Market Street, 
Dracut Police Department,40,Local police department,MA,Middlesex,Dracut,1826,25017,110 Loon Hill Road, 
Horsham Township Police Department,40,Local police department,PA,Montgomery,Horsham,19044,42091,1025 Horsham Rd, 
Crown Point Police,40,Local police department,IN,Lake,Crown Point,46307,18089,124 North East Street, 
Franklin Police,40,Local police department,IN,Johnson,Franklin,46131,18081,One Caisson Drive, 
Brownstown Police Department,40,Local police department,MI,Wayne,Brownstown,48183,26163,23125 King Road, 
Bellaire Police Department,40,Local police department,TX,Harris,Bellaire,77401,48201,5110 Jessamine St, 
Brandon Police Department,40,Local police department,MS,Rankin,Brandon,39042,28121,1 West Seminary Street, 
Sidney Police Department,40,Local police department,OH,Shelby,Sidney,45365,39149,201 West Poplar Street, 
Benbrook Police Department,40,Local police department,TX,Tarrant,Benbrook,76126,48439,1080 Mercedes, 
Bonner County Sheriff's Office,40,Sheriff's office,ID,Bonner,Sandpoint,83864,16017,4001 N Boyer Ave, 
St. Clair County Sheriff's Office,40,Sheriff's office,AL,St. Clair,Ashville,35953,1115,1170 Michigan Rd, 
Covington Police Department,40,Local police department,LA,St. Tammany,Covington,70434,22103,One Police Memorial Dr., 
Bullitt County Sheriff's Office,40,Sheriff's office,KY,Bullitt,Shepherdsville,40165,21029,300 S Buckman St,PO Box 205
East Lampeter Township Police Department,40,Local police department,PA,Lancaster,Lancaster,17602,42071,2250 Old Phila Pike, 
Churchill County Sheriff's Office,40,Sheriff's office,NV,Churchill,Fallon,89406,32001,73 N Maine St, 
Westford Police Department,40,Local police department,MA,Middlesex,Westford,1886,25017,53 Main St, 
Scott County Sheriff's Office,40,Sheriff's office,KY,Scott,Georgetown,40324,21209,301 S Fuller St, 
New Lenox Police Dept,40,Local police department,IL,Will,New Lenox,60451,17197,701 W Haven Ave, 
Big Spring Police Department,40,Local police department,TX,Howard,Big Springs,79720,48227,400 E. 4Th St, 
St. Ann Police Dept,40,Local police department,MO,St. Louis,St Ann,63074,29189,10405 St Charles Rock Rd, 
Augusta Police Department,40,Local police department,ME,Kennebec,Augusta,4330,23011,P.O. Box 85, 
Austintown Police Department,40,Local police department,OH,Mahoning,Austintown,44515,39099,92 Ohltown Road, 
University Park Police Department,40,Local police department,TX,Dallas,University Park,75205,48113,6724 Baltimore Avenue, 
South Euclid Police Department,40,Local police department,OH,Cuyahoga,South Euclid,44121,39035,1349 South Green Road, 
Westmont Police Dept,40,Local police department,IL,Du Page,Westmont,60559,17043,500 N Cass Ave, 
North Andover Police Department,40,Local police department,MA,Essex,North Andover,1845,25009,566 Main St, 
Susquehanna Township Police Department,40,Local police department,PA,Dauphin,Harrisburg,17110,42043,1900 Linglestown Rd, 
Bellwood Police Dept,40,Local police department,IL,Cook,Bellwood,60104,17031,3200 Washington Blvd, 
White County Sheriff's Office,40,Sheriff's office,GA,White,Cleveland,30528,13311,1600 E Booth Rd Ste 100, 
Webster Parish Sheriff's Office,40,Sheriff's office,LA,Webster,Minden,71058,22119,Po Box 877,410 Main St
Blytheville Police Department,40,Local police department,AR,Mississippi,Blytheville,72315,5093,201 West Walnut, 
University of North Texas Police Department,40,Special jurisdiction,TX,Denton,Denton,76201,48121,1700 Wilshire Street, 
Wharton County Sheriff's Office,40,Sheriff's office,TX,Wharton,Wharton,77488,48481,Po Box 726,315 E Elm
Gulf Shores Police Department,40,Local police department,AL,Baldwin,Gulf Shores,36542,1003,Post Office Box 896, 
Alcoa Police Department,40,Local police department,TN,Blount,Alcoa,37701,47009,2020 N. Wright Road, 
Miami Springs Police Department,40,Local police department,FL,Miami-Dade,Miami Springs,33166,12086,201 Westward Drive, 
Lumpkin County Sheriff's Office,40,Sheriff's office,GA,Lumpkin,Dahlonega,30533,13187,385 E Main St, 
Neenah Police Department,40,Local police department,WI,Winnebago,Neenah,54956,55139,2111 Marathon Avenue, 
Marshall County Sheriff's Office,40,Sheriff's office,AL,Marshall,Guntersville,35976,1095,209 1St Ave N, 
Tomball Police Department,40,Local police department,TX,Harris,Tomball,77375,48201,400 Fannin St., 
Albertville Police Department,40,Local police department,AL,Marshall,Albertville,35950,1095,201 South Broad Street, 
Jacksonville Police Dept,40,Local police department,IL,Morgan,Jacksonville,62650,17137,200 W Douglas, 
Northern Virginia Community College Police Dept.,40,Special jurisdiction,VA,Fairfax,Annandale,22003,51059,8333 Little River Tpk., 
Maitland Police Department,40,Local police department,FL,Orange,Maitland,32751,12095,1776 Independence Lane, 
CUNY Baruch College Police,40,Special jurisdiction,NY,New York,New York,10010,36061,17 Lexington Ave, 
Longwood Police Department,40,Local police department,FL,Seminole,Longwood,32750,12117,235 West Church Avenue, 
University of Akron Police Department,40,Special jurisdiction,OH,Summit,Akron,44325,39153,146 Hill Street, 
Grants Pass Department of Public Safety,40,Local police department,OR,Josephine,Grants Pass,97526,41033,101 Nw 'A' Street, 
Edwardsville Police Dept,40,Local police department,IL,Madison,Edwardsville,62025,17119,400 North Main Street, 
Albuquerque Aviation Police,40,Special jurisdiction,NM,Bernalillo,Albuquerque,87119,35001,Po Box 9948, 
Fountain Police Department,40,Local police department,CO,El Paso,Fountain,80817,8041,222 N Santa Fe Ave., 
McDonough Police Department,40,Local police department,GA,Henry,McDonough,30253,13151,88 Keysferry Street, 
Paso Robles Police Department,40,Local police department,CA,San Luis Obispo,Paso Robles,93446,6079,900 Park Street, 
Warren County Sheriff's Office,40,Sheriff's office,TN,Warren,Mc Minnville,37110,47177,121 N A St, 
Burleigh County Sheriff's Office,40,Sheriff's office,ND,Burleigh,Bismarck,58502,38015,Po Box 1416,514 E. Thayer Ave
Sparta Township Police,39,Local police department,NJ,Sussex,Sparta,7871,34037,65 Main Street, 
Jefferson Township Police,39,Local police department,NJ,Morris,Lake Hopatcong,7849,34027,1033 Weldon Road, 
Gladstone Department of Public Safety,39,Local police department,MO,Clay,Gladstone,64118,29047,7010 N Holmes, 
Towson University Police,39,Special jurisdiction,MD,Baltimore,Baltimore,21252,24005,8000 York Road,Towson University Police
Palm Springs Public Safety Dept.,39,Local police department,FL,Palm Beach,Palm Springs,33461,12099,230 Cypress Lane, 
Boone County Sheriff's Office,39,Sheriff's office,IL,Boone,Belvidere,61008,17007,400 E Prospect Ave, 
Ste. Genevieve County Sheriff's Office,39,Sheriff's office,MO,Ste. Genevieve,Ste. Genevieve,63670,29186,5 Basler Dr, 
Upper Moreland Township Police Department,39,Local police department,PA,Montgomery,Willow Grove,19090,42091,117 Park Avenue, 
Derby Police Department,39,Local police department,KS,Sedgwick,Derby,67037,20173,229 N Baltimore, 
Des Peres Department of Public Safety,39,Local police department,MO,St. Louis,Des Peres,63131,29189,1000 N. Ballas Road, 
Rye Police Department,39,Local police department,NY,Westchester,Rye,10580,36119,21 Mccullough Place, 
Tullahoma Police Department,39,Local police department,TN,Coffee,Tullahoma,37388,47031,P.O. Box 807, 
Wichita County Sheriff's Office,39,Sheriff's office,TX,Wichita,Wichita Falls,76307,48485,Po Box 8466, 
Miami Township Police Department,39,Local police department,OH,Clermont,Milford,45150,39025,2660 Lyons Road, 
Derry Township Police Department,39,Local police department,PA,Dauphin,Hershey,17033,42043,620 Clearwater Road, 
Munster Police,39,Local police department,IN,Lake,Munster,46321,18089,1001 Ridge Road, 
North Ridgeville Police Department,39,Local police department,OH,Lorain,North Ridgeville,44039,39093,7307 Avon Belden Road, 
Bowie County Sheriff's Office,39,Sheriff's office,TX,Bowie,Texarkana,75501,48037,100 N State Line Ave Box #18, 
Klamath Falls Police Department,39,Local police department,OR,Klamath,Klamath Falls,97601,41035,Po Box 237, 
Florida International University Police,39,Special jurisdiction,FL,Miami-Dade,Miami,33199,12086,11200 SW 8th St., 
Muscogee Creek Nation Tribal Police,39,Local police department,OK,Okmulgee,Okmulgee,74447,40111,P. O. Box 580, 
Seymour Police,39,Local police department,IN,Jackson,Seymour,47274,18071,205 North Ewing Street, 
Butts County Sheriff's Office,39,Sheriff's office,GA,Butts,Jackson,30233,13035,835 Ernest Biles Dr, 
Wythe County Sheriff's Office,39,Sheriff's office,VA,Wythe,Wytheville,24382,51197,Po Box 819,245 S 4th St
Woodstock Police Dept,39,Local police department,IL,McHenry,Woodstock,60098,17111,656 Lake Avenue, 
Northlake Police Dept,39,Local police department,IL,Cook,Northlake,60164,17031,55 E North Avenue, 
Auburn Police Department,39,Local police department,MA,Worcester,Auburn,1501,25027,P.O. Box 465, 
Lewis & Clark County Sheriff's Office,39,Sheriff's office,MT,Lewis and Clark,Helena,59601,30049,221 Breckenridge St, 
Springdale Police Department,39,Local police department,OH,Hamilton,Cincinnati,45246,39061,2915 Platt Springs Road, 
Shawano County Sheriff's Office,39,Sheriff's office,WI,Shawano,Shawano,54166,55115,405 N Main St, 
North Kansas City Police Department,39,Local police department,MO,Clay,North Kansas City,64116,29047,2020 Howell St., 
Osage County Sheriff's Office,39,Sheriff's office,OK,Osage,Pawhuska,74056,40113,106 E Main St,PO Box 619
Roy Police Department,39,Local police department,UT,Weber,Roy,84067,49057,5051 South 1900 West, 
South Burlington Police Department,39,Local police department,VT,Chittenden,South Burlington,5403,50007,575 Dorset Street, 
Crow Wing County Sheriff's Office,39,Sheriff's office,MN,Crow Wing,Brainerd,56401,27035,304 Laurel Street, 
North Castle Town Police Department,39,Local police department,NY,Westchester,Armonk,10504,36119,15 Bedford Road, 
Hazleton Police Department,39,Local police department,PA,Luzerne,Hazleton,18201,42079,40 North Church Street, 
Stokes County Sheriff's Office,39,Sheriff's office,NC,Stokes,Danbury,27016,37169,Po Box 118, 
Garfield County Sheriff's Office,39,Sheriff's office,CO,Garfield,Glenwood Springs,81601,8045,Po Box 103,Courthouse
